realtime_start,realtime_end,date,value
2023-04-08,2023-04-08,1989-07-01,4996.268136003453
2023-04-08,2023-04-08,1989-08-01,4958.3775713214345
2023-04-08,2023-04-08,1989-09-01,4926.5979348594265
2023-04-08,2023-04-08,1989-10-01,5052.029660686526
2023-04-08,2023-04-08,1989-11-01,4861.973584682591
2023-04-08,2023-04-08,1989-12-01,5017.628837739253
2023-04-08,2023-04-08,1990-01-01,4955.155717558051
2023-04-08,2023-04-08,1990-02-01,4741.144004656424
2023-04-08,2023-04-08,1990-03-01,4721.318337497881
2023-04-08,2023-04-08,1990-04-01,4645.924895536112
2023-04-08,2023-04-08,1990-05-01,4538.573225717673
2023-04-08,2023-04-08,1990-06-01,4480.605745978672
2023-04-08,2023-04-08,1990-07-01,4486.279069970378
2023-04-08,2023-04-08,1990-08-01,4309.1435009288225
2023-04-08,2023-04-08,1990-09-01,4142.8698321825
2023-04-08,2023-04-08,1990-10-01,3936.617040643445
2023-04-08,2023-04-08,1990-11-01,3659.270865285216
2023-04-08,2023-04-08,1990-12-01,3661.360716179961
2023-04-08,2023-04-08,1991-01-01,3399.784743611948
2023-04-08,2023-04-08,1991-02-01,3285.0481574803725
2023-04-08,2023-04-08,1991-03-01,3220.7153599619273
2023-04-08,2023-04-08,1991-04-01,3205.228573788515
2023-04-08,2023-04-08,1991-05-01,3195.806496557351
2023-04-08,2023-04-08,1991-06-01,3246.4437822561404
2023-04-08,2023-04-08,1991-07-01,3125.280314370898
2023-04-08,2023-04-08,1991-08-01,3078.5367242112875
2023-04-08,2023-04-08,1991-09-01,3114.1533002952287
2023-04-08,2023-04-08,1991-10-01,2973.477345723887
2023-04-08,2023-04-08,1991-11-01,3021.7108605445696
2023-04-08,2023-04-08,1991-12-01,3044.2457169305344
2023-04-08,2023-04-08,1992-01-01,2893.9005056871197
2023-04-08,2023-04-08,1992-02-01,3010.260866148531
2023-04-08,2023-04-08,1992-03-01,3161.2019375920227
2023-04-08,2023-04-08,1992-04-01,3048.8988889028365
2023-04-08,2023-04-08,1992-05-01,3150.2740361667934
2023-04-08,2023-04-08,1992-06-01,3111.135920712787
2023-04-08,2023-04-08,1992-07-01,3089.886330020687
2023-04-08,2023-04-08,1992-08-01,3162.4208323005946
2023-04-08,2023-04-08,1992-09-01,3064.639326373413
2023-04-08,2023-04-08,1992-10-01,3124.318213665274
